#,Name,Type,Division,Displacement Standard (tons),Displacement Full load (tons),Length (m),Beam (m),Draft (m),Speed (knots),Range,Autonomy (days),Propulsion,Armament,Electronics,Complement,Cargo,Passengers,Endurance (days),Special equipment,Capacity (tons),Capacity (c.m.),Destruction Date
,VTN-73,Small Seagoing Tanker,205th Auxiliary Ship Squad,1069,2269.0,50.6,14.0,5,9.0,,10.0,2x1320 hp Caterpillar C32 diesels. 2 azimuth thrusters. 1 bow thruster. 3x150 kW diesel-generator. 1x65 kW diesel-generator,,,14.0,,,,,,,2022-08-31
572.0,Alrosa,Diesel Attack Submarine,4th Independent Submarine Brigade,,,72.6,9.9,,,,,1x5800 hp PG-141M electric motor. 1x150 hp PG-142 electric motor. 1 pump-jet. 2x1500 kW 4DL-42M diesel-generators,8x1 9K310 Igla-1 SAM system launchers (9M313 missiles) 6 533 mm bow torpedo tubes - 18 torpedoes (53-65K. 53-56B. 53-56BA. SET-53M. TEST-71M. USET-80. MG-74 Korund-2 torpedo decoy) or 24 DM-1 mines,MRK-50 Kaskad radar complex. MRP-25 reconnaissance radar. Khrom IFF. MGK-400 Rubikon sonar complex. MG-519 Arfa mine detection sonar . MG-512 Vint self-cavitation measurement sonar. MG-53 noise detection sonar. MG-553 Shkert. MGS-30. MVU-110 Uzel combat information control system. Andoga navigation complex,,,,45.0,,,,2022-09-08
908.0,Vice-admiral Zakharyin,Seagoing Minesweeper,184th Novorossiysk Coastal Defense Brigade,791,852.0,61,10.2,2.97,17.0,,15.0,2x2500 hp M-503B-3 diesels. 2 controllable pitch propellers. 2 bow thrusters. 2x200 kW DGRA-200/1500 diesel generators. 1x200 kW DGRA-200/1500,1x6 AK-306 2x1 14.5 mm MTPU-1 Zhalo 32 BB-1 or 7 KMD-1000 mines KIU-1 sweep. BKT contact sweep. TEM-4 magnetic sweep. AT-3 acoustic swwp. ShZ-1 or ShZ-2 detonating cord. Livadiya sweep,MR-302 Rubka air/surface search radar. 2 Don-D navigation radars. Nikhrom-R IFF. Livadiya mine search sonar. MG-69 Lan mine search sonar. MG-79 Mezen mine search sonar. MG-26 Khosta underwater communication system. Anapa-P anti-saboteur sonar,60.0,,,,,,,2022-09-08
,VTN-99,Small Seagoing Tanker,205th Auxiliary Ship Squad,539,1127.0,53.77,9.72,3.37,10.0,,10.0,1x600 hp 6DR30/50-5-3 diesel. 1 fixed pitch propeller in rotate nozzle. 2x100 kW diesel-generators. 1x50 kW diesel-generator,,Don navigation radar,20.0,,,,,500,,2022-09-09
953.0,Naberezhnye Chelny,Missile Corvette,41th Missile Boat Brigade,436,493.0,56.1,10.2,2.5,41.0,,10.0,2x16000 hp DGTA M-15A (4000 hp M-510 diesel. 12000 hp M-70 gas turbine). 2 fixed pitch propellers. 2x200 kW diesel generators. 1x100 kW diesel generator,2x2 KT-152 launchers (4 P-100 Moskit anti-ship missiles (3M80)) 1x4 MTU-4US Strela-3M or 9K310 Igla-1 SAM system launcher (9M313 missiles) - 16 missiles 1x1 76 mm AK-176M (314 rounds) - MR-123-1 «Vympel-A» fire control system 2x6 30 mm AK-630M CIWS,34K1 Monolit radar complex (Most. Mayak. Mech. Massiv. MR-144 radars). Don navigation radar. Vympel-R2 ESW radar system PK-16 decoy RL (2 KL-101 launchers),,,,,,,,2022-09-10
,MUS-229,Oil Skimmer,205th Auxiliary Ship Squad,132,208.8,24.6,8.6,1.73,,,,2x100 kW diesel-generators,,,4.0,,,,,102,,2022-09-19
555.0,Novorossiysk,Diesel Attack Submarine,4th Independent Submarine Brigade,,,73.8,9.9,,,,,1x5800 hp PG-141M electric motor. 1x150 hp PG-142 electric motor. 1 fixed pitch propeller. 2x1500 kW 4DL-42M diesel-generators,8x1 9K310 «Igla-1» SAM system launchers (9M313 missiles) 6 533 mm bow torpedo tubes - 18 torpedoes 53-65K. 53-56B. 53-56BA. SET-53M. TEST-71M. USET-80. MG-74 «Korund-2» torpedo decoy. «Kalibr-PL» missile complex (3M54K. 3M14K missiles) or 24 DM-1 mines,MRK-50 «Kaskad» radar complex. MRP-25 ESM radar system. «Khrom-M» IFF. MGK-400 «Rubikon» sonar complex. MG-519 «Arfa» mine detection sonar. MG-512 «Vint» self-cavitation measurement sonar. MG-53 noise detection sonar. MG-553 «Shkert». MVU-110EM «Uzel» combat information control system. «Andoga» navigation complex,,,,45.0,,,,2022-09-20
464.0,Georgy Kurbatov,Coastal Minesweeper,68th Coastal Defense Ship Brigade ,720,890.0,61.75,10.8,3.68,15.9,,10.0,2x2500 hp M-503M1 diesels. 2 fixed pitch propellers. 2 rudder propellers with nozzles. 2 transverse bow propellers. 2x315 kW diesel generators. 2x210 kW diesel generators,1x6 30 mm AK-306 (1500 rounds) - SP-520M-2 opto-electronic control system 1x1 14.5 mm MTPU-1 Zhalo (Ivan Antonov. Vladimir Emelyanov – 2x1 12.7 mm 6P58 Kord) 2 9K38 Igla SAM system launcher (8 9M39 missiles) UDM. UDM-2. UDM-500. MTPK-1. MTPK-2. MRPK-1. PMR-1. PMR-2 minesSkanda unmanned boat (№523) Alexandrit-ISPUM. Diamand. OUKT-B contact sweep. PKT-B contact sweep. Zhelatin sweep. ShAT-U acoustic sweep,PAL-N navigation radar. MTK-201M3.1 optical-television complex. Struktura-35 underwater communication system. Anapa anti-saboteur sonar. Altyn-M GISZ. Ruberoid communication complex,51.0,,,,,,,2022-09-21
,RK-341,Harbor Boat,Sevastopol Mine and Torpedo Weapons Base,,,,,,,,,,,,,,,,,,,2022-09-28
,Sapsan,Communication Boat,115th Commandant Office,94.2,103.0,27.17,6.5,1.75,19.32,,2.0,2x1523 hp MTU 10V2000M93 diesels. 2 fixed pitch propellers. 2x22.8 kW SM300 diesel-generators,,Liman-18M1 navigation radar,6.0,,12,,,,,2022-09-30
