#,Name,Type,Division,Displacement Standard (tons),Displacement Full load (tons),Length (m),Beam (m),Draft (m),Speed (knots),Range,Autonomy (days),Propulsion,Armament,Electronics,Complement,Cargo,Passengers,Endurance (days),Special equipment,Capacity (tons),Capacity (c.m.),Destruction Date
840.0,P-191 Kadet,Anti-saboteur Boat,184th Novorossiysk Coastal Defense Brigade,138.69,,31.04,7.4,1.86,23.0,,5.0,2x1822 hp MTU 12V2000M93 diesels. 2 fixed pitch propellers. 2x100 kW DGA-100-V-A1-MPS diesel-generators,4x1 SAM system 9K38 Igla launchers (9M39 missiles) 1x1 14.5 mm MTPU-1 Zhalo1x10 55 mm DP-65A grenade launcher (RG-55M. GRS-55 grenades)1x2 45 mm DP-64 grenade launcher (FG-45. SG-45 grenades) 1 diving complex (1 diving chamber). Falcon Underwater Remotely Operated Vehicle,MR-231 navigation radar. MTK-201M3 electronic-optical television system. Filin (P-104) optical system. Kalmar sonar complex. MG-757 Anapa-M anti-saboteur sonar,8.0,,,,,,,2023-06-24
,SR-939,Degaussing Ship,205th Auxiliary Ship Squad,1811,2096.0,69.5,13.8,3.98,13.6,,30.0,2x1470 hp Zgoda-Sulzer AL25D diesels. 2 variable pitch propellers. 2x384 kW diesel generators. 1x180 kW diesel generator,,Kivach navigation radar,45.0,,,,,,,2023-06-26
842.0,P-350 Kursant Kirovets,Anti-saboteur Boat,184th Novorossiysk Coastal Defense Brigade,138.69,,31.04,7.4,1.86,23.0,,5.0,2x1822 hp MTU 12V2000M93 diesels. 2 fixed pitch propellers. 2x100 kW DGA-100-V-A1-MPS diesel-generators,4x1 SAM system 9K38 Igla launchers (9M39 missiles) 1x1 14.5 mm MTPU-1 Zhalo1x10 55 mm DP-65A grenade launcher (RG-55M. GRS-55 grenades)1x2 45 mm DP-64 grenade launcher (FG-45. SG-45 grenades) 1 diving complex (1 diving chamber). Falcon Underwater Remotely Operated Vehicle,MR-231 navigation radar. MTK-201M3 electronic-optical television system. Filin (P-104) optical system. Kalmar sonar complex. MG-757 Anapa-M anti-saboteur sonar,8.0,,,,,,,2023-06-27
,EPRON,Rescue / Salvage Ship,145th Resue Ship Squad,2610,3034.0,89.7,14.3,5.2,18.8,,35.0,2x3500 hp PG-215 electric motors. 2 fixed pitch propellers. 4x1375 kW 3D100M diesel generators. 2x500 kW diesel generators. 1x100 kW diesel generator,,2 Don navigation radars. Pegas-2M sonar,135.0,,,,2 diving complexes (4 pressure chambers) - 200 m. 1 diving chamber - 200 m. 1 SK-527 rescue chamber - 200 m. 1 NK-300 observation chamber - 300 m. 7x220 m3/h fire monitors. 3060 m3/h water pumps,,,2023-06-27
,Ekwator,Intelligence Ship,519th Independent Intelligence Ship Division,1080,1560.0,73.32,10.8,3.9,17.3,,35.0,2x1800 hp Zgoda-Sulzer 6ТD-48 diesels. 2 controllable pitch propellers. 3x259 kW 5BAH22 diesel-generators. 1x52 kW S324M diesel-generator,SAM system Strela (16 missiles),Bizan ESM radar system. 2 Don navigation radars. sonar MG-329 Sheksna. underwater communication system MG-13. underwater communication system MG-26 Khosta. station MI-110K. special electronics,,,,,,,,2023-06-29
,RB-44,Harbor Tug,58th Auxiliary Ship Group Feodosia,168,192.0,24.4,7.22,2.1,9.0,,,2x300 hp diesels. 2 cycloidal propulsion units,,,4.0,,,,,,,2023-06-29
,Vladimir Kozitsky,Large Hydrographic Boat,47th Hydrographic Area,177.1,223.2,33.21,6.8,1.6,12.7,,10.0,2x337 hp diesels. 2 fixed pitch propellers. 1 bow thruster,,,9.0,,,,,,,2023-07-03
,RK-162,Harbor Boat,68th Coastal Defense Ship Brigade ,,4.0,8.65,2.25,0.5,35.0,,,360 hp diesel,,,1.0,,12,,,,,2023-07-04
,RK-340,Harbor Boat,205th Auxiliary Ship Squad,,46.0,21.2,3.93,1.65,11.0,,5.0,1x300 hp 3D12AA diesel. 1x25 kW DGR-25/1500 25 diesel generator. 1x1.2 kW diesel generator,1x7 55 mm MRG-1 Ogonyokgrenade launcher (35 RG-55 grenades. 7 GRS-55 grenades),Lotsiya navigation radar. MG-7 Braslet anti-saboteur sonar,5.0,,,,,,,2023-07-05
616.0,Samum,Missile Corvette,41th Missile Boat Brigade,897,1083.0,63.9,17.2,3.57,52.7,,10.0,2x20000 hp M-10-1 gas turbines. 2x10000 hp M-511A diesels. 2x3000 hp M-4750 diesels. 4x200 kW DGE2A200/1500 diesel generators,2x4 KT-190 P-100 «Moskit» anti-ship missiles launchers (3M80) 1x2 ZIF-122 4K33AM «Osa-MA2» SAM system launcher (20 9МM33. 9M33M. 9M33M1. 9M33M5 missiles) – 4R-33AM fire control system2x1 9K34 «Strela-3» SAM system launchers (8 9M36 missiles) 1x1 76 mm AK-176M (316 rounds) – MR-123-01 «Vympel-A» fire control system 2x6 30 mm AK-630M (6000 rounds),34K1 «Monolit» radar complex («Most». «Mayak». «Mech». «Massiv». 2 MR-144 radars). MR-352 «Pozitiv» air/surface search radar. MR-244 «Ekran» navigation radar. «Don» navigation radar. «Vympel-R2» ESM radar system (2 MP-405. 2 MP-405-1 radars). MP-405-1 ESM radar system. «Parol» IFF. «Rumb» radio direction finder. «Buran-7» communication complex PK-16 decoy RL (2 KL-101 launchers). PK-10 «Smely» decoy RL (4 KT-216 launchers),,,,,,,,2023-07-05
,BGK-2150 Yury Belov,Large Hydrographic Boat,47th Hydrographic Area,279,320.0,36.44,7.8,2.1,11.5,,10.0,2x337 hp NHD diesels. 2 azimuth thrusters. 1 bow thruster. 2x80 kW DGA-80-VA2-MPS diesel-generators,,,11.0,,,,,,,2023-07-07
,RB-392,Harbor Tug,61th Auxiliary Ship Group Novorossiysk,303,417.0,25.4,9.3,3.6,12.0,,,2x1015 hp KTA 38 M1 diesels. 2x84 kW diesel generators. 2 rudder propellers,,,8.0,,,,2x300 m3/h fire monitors,,,2023-07-10
,RK-518,Harbor Boat,68th Coastal Defense Ship Brigade ,31.6,38.2,21,3.98,1.31,10.4,,5.0,1x150 hp. diesel 3D6S1. 1 fixed pitch propeller,,,13.0,,,,,,,2023-07-13
,MGK-675,Small Hydrographic Boat,47th Hydrographic Area,4.9,6.1,9.3,2.74,0.64,8.1,,1.0,1x95 hp SW400/M2 diesel. 1 fixed pitch propeller,,,,,,,,,,2023-07-14
615.0,Bora,Missile Corvette,41th Missile Boat Brigade,897,1083.0,63.9,17.2,3.57,52.7,,10.0,2x20000 hp M-10-1 gas turbines. 2x10000 hp M-511A diesels. 2x3000 hp M-4750 diesels. 4x200 kW DGE2A200/1500 diesel generators,2x4 KT-190 P-100 Moskit anti-ship missiles launchers (3M80) 1x2 ZIF-122 4K33AM Osa-MA2 SAM system launcher (20 9МM33. 9M33M. 9M33M1. 9M33M5 missiles) – 4R-33AM fire control system2x1 9K34 Strela-3 SAM system launchers (8 9M36 missiles) 1x1 76 mm AK-176M (316 rounds) – MR-123-01 Vympel-A fire control system 2x6 30 mm AK-630M (6000 rounds),34K1 Monolit radar complex (Most. Mayak. Mech. Massiv. 2 MR-144 radars). MR-352 Pozitiv air/surface search radar. MR-244 Ekran navigation radar. Don navigation radar. Vympel-R2 ESM radar system (2 MP-405. 2 MP-405-1 radars). MP-405-1 ESM radar system. Parol IFF. Rumb radio direction finder. Buran-7 communication complex PK-16 decoy RL (2 KL-101 launchers). PK-10 Smely decoy RL (4 KT-216 launchers),,,,,,,,2023-07-14
,BNN-226800,Non-Self-Propelled Tank Barge,205th Auxiliary Ship Squad,300.9,1101.16,38.1,11.0,2.66,,,,Non-self-propelled,,,3.0,,,,,800,,2023-07-20
,Spasatel Vasily Bekh,Salvage Tug,145th Resue Ship Squad,1200,1670.0,57,14.0,3.2,14.0,,20.0,2x2720 hp KL6538-AS06 electric motors. 2 azipods. 2 bow thrusters. 3x1520 kW diesel-generators. 2x200 kW diesel-generators. 2x100 kW diesel-generators,,,,,,,1 dive complex (1 pressure chamber) - 60 m. 3x500 m3/h fire monitors,,,2023-07-25
,RB-1301,Harbor Tug,13th Ship Repair Plant,91.3,108.5,23.4,5.87,1.87,11.4,,6.0,1x315 hp 8ChNSP18/22-1 diesel. 1x18 kW DGKN-40.4ch8.5/11 diesel-generator,,,8.0,,,,,,,2023-08-01
556.0,Rostov-on-Don,Diesel Attack Submarine,4th Independent Submarine Brigade,,,73.8,9.9,,,,,1x5800 hp PG-141M electric motor. 1x150 hp PG-142 electric motor. 1 fixed pitch propeller. 2x1500 kW 4DL-42M diesel-generators,8x1 9K310 Igla-1 SAM system launchers (9M313 missiles) 6 533 mm bow torpedo tubes - 18 torpedoes 53-65K. 53-56B. 53-56BA. SET-53M. TEST-71M. USET-80. MG-74 Korund-2 torpedo decoy. Kalibr-PL missile complex (3M54K. 3M14K missiles) or 24 DM-1 mines,MRK-50 Kaskad radar complex. MRP-25 ESM radar system. Khrom-M IFF. MGK-400 Rubikon sonar complex. MG-519 Arfa mine detection sonar. MG-512 Vint self-cavitation measurement sonar. MG-53 noise detection sonar. MG-553 Shkert. MVU-110EM Uzel combat information control system. Andoga navigation complex,,,,45.0,,,,2023-08-09
,RB-296,Harbor Tug,205th Auxiliary Ship Squad,182,206.0,24.17,7.22,2.24,9.8,,6.0,2x450 hp 6ChN-25/30 diesels. 2 cycloidal propulsion units,,,4.0,,,,,,,2023-08-09
,Iman,Seagoing Tanker,205th Auxiliary Ship Squad,2040,6480.0,105.4,14.78,6.09,14.2,,20.0,1x2900 hp BW-550VTBF-110 diesel. 1 fixed pitch propeller. 2x168 kW diesel-generators . 1x8 kW diesel-generator. 1x60 kW steam-dynamo,,Donets-2 navigation radar. SFP4/N PLATH radio direction finder,40.0,,,,,4050,,2023-08-15
,BUK-2190,Tugboat,205th Auxiliary Ship Squad,207,257.0,20.4,8.8,3,10.5,,,2x608 hp Caterpillar C18 diesels. 2 azipods. 2x86 kW diesel generators,,,4.0,,,,,,,2023-08-20
,Shakhter,Salvage Tug,145th Resue Ship Squad,1970,2780.0,69.2,15.4,5.1,16.0,,30.0,2x3500 hp 6ChN40/46 diesels. 2 controllable pitch propellers in nozzles. 1 bow thruster. 2x450 kW diesel generators. 3x200 kW diesel generators,,2 MR-212/201 Vaygach-U navigation radars,43.0,,,,1 diving complex (1 pressure chamber) – 60 m. 4 fire monitors,,,2023-08-24
158.0,Caesar Kunikov,Large Landing Ship,197th Landing Ship Brigade,2768,4012.0,112.55,15.0,4.05,17.59,,30.0,2x9600 hp Zgoda-Sulzer 16ZVB40/48 diesels. 2 fixed pitch propellers. 2 stern retractable azimuth thrusters. 3x750 kW diesel generators,2x2 57 mm AK-725 (2200 rounds) – MR-103 Bars fire control system 2x40 122 mm MS-73 Grad-M launchers (№19. from №21) (320 rounds) – Groza-1171 fire control system,MR-302 Rubka air/surface search radar. Don navigation radar,,10 main battle tanks and 340 troops or 12 PT-76 light tanks and 150 troops or 3 main battle tanks. 3 2S9 Nona-S. 5 MT-LB. 4 army trucks and 313 troops or 20 army trucks and 150 troops or 500 tons of cargo,,,,,,2023-08-26
,RVK-762,Diving Boat,314th Rescue Ship Squad Novorossiysk,100,118.0,28.09,5.56,1.5,13.7,,5.0,2x600 hp diesels. 2 fixed pitch propellers. 1 bow thruster. 2x80 kW diesel-generatros. 1x20 kW diesel-generator,,,8.0,,,,1 diving complex (1 hyperbaric chamber)  60 meters,,,2023-09-04
,RK-500,Harbor Boat,115th Commandant Office,,,,,,,,,,,,,,,,,,,2023-09-06
,RRK-2174,Harbor Boat,184th Experimental Base,9.3,,13.5,,,27.0,,0.2,2x350 hp MarineDiesel. 2 azipods,,,2.0,,,,,5.5 or 10 passengers,,2023-09-08
,TL-278,Torpedo Retriever,58th Auxiliary Ship Group Feodosia,269,310.0,48.6,9.0,2.22,28.7,,8.0,2x5000 hp M-504B diesels. 2 fixed propellers. 2 D6-150AF-2 diesel-generators x150 kW,,Mius navigation radar. MG-329 Sheksna sonar,20.0,6-8 533 mm torpedoes,,,,,,2023-09-14
,SR-59,Degaussing Ship,58th Auxiliary Ship Group Feodosia,1811,2096.0,69.5,13.8,3.98,13.6,,30.0,2x1470 hp Zgoda-Sulzer AL25D diesels. 2 variable pitch propellers. 2x384 kW diesel generators. 1x180 kW diesel generator,,Kivach navigation radar,45.0,,,,,,,2023-09-15
,RVK-704,Diving Boat,184th Experimental Base,,,,,,,,,,,,,,,,,,,2023-09-15
,Professor Nikolay Muru,Rescue Tug,314th Rescue Ship Squad Novorossiysk,1200,1670.0,57,14.0,3.2,14.0,,20.0,2x2720 hp KL6538-AS06 electric motors. 2 azipods. 2 bow thrusters. 3x1520 kW diesel-generators. 2x200 kW diesel-generators. 2x100 kW diesel-generators,,,,,,,1 ARS-600 var.1. 1ARS-600 var.2 1 Falcon-1000 underwater ROV 1 dive complex (1 pressure chamber) - 60 m. 3x500 m3/h fire monitors,,,2023-09-22
,Sayany,Salvage Vessel,145th Resue Ship Squad,6780,7980.0,132,17.3,5.97,16.6,,30.0,1x6100 hp 5DKRN62/140-3 diesel. 4x500 kW diesel generators. 3x320 kW diesel generators. 1x100 kW diesel generator. 1 fixed pitch propellers. 1 thruster,,2 Don navigation radars. MG-89 mine search sonar. MGA-21 sonar. MGV-5N underwater communication system,117.0,,,,1 Project 1837 submersible rescue vehicle. 1 Project 1839 autonomous underwater working vehicle or 1 Project 1832 deep-diving autonomous underwater vehicle. Then - 1 Project 1855 deep-diving autonomous underwater vehicle or Project 18270. 1 Project 1839 autonomous underwater working vehicle1 pressure chamber. 1 MTK-200 television complex,,,2023-09-26
,MB-174,Seagoing Tug,205th Auxiliary Ship Squad,717,890.0,47.3,10.3,4.14,13.2,,30.0,1x1900 hp PG-150/60 electric motor. 1 fixed pitch propeller in rotating nozzle. 2x1000 kW 5D-50 diesel generators. 2x20 kW diesel generators,,,31.0,,,,,,,2023-09-28
55.0,Kasimov,ASW Corvette,184th Novorossiysk Coastal Defense Brigade,910,1055.0,71.07,10.15,3.71,31.67,,10.0,1x18000 hp M-8 gas turbine. 2x10000 hp M-507A-1P diesels or 2x10000 hp M-507A-2 diesels. 3 fixed pitch propellers. 1x500 kW ASDG-500 diesel generator. 1x300 kW diesel generator. 1x200 kW diesel generator,1x2 ZIF-122 4K33 Osa-MA SAM system launcher (20 9M33M missiles) - 4R-33A 1x2 or 1x4 9K34 Strela-3 SAM system launcher (8 9M36 missiles) or 9K38 Igla SAM system (8 9M39 missiles)1x1 76 mm AK-176 (304 rounds). 1x6 30 mm AK-630M (3000 rounds) - MR-123 Vympel-A fire control system2x2 533 mm DTA-53-1124 torpedo tubes (4 torpedoes TEST-71. TEST-71M. SET-65. SET-53. SET-53M. 53-65K) - Drakon fire control system1x12 RBU-6000 Smerch-2 (48 RGB-60) 12 BB-1 or BPS depth charges 18 mines,MR-320 Topaz-2V air/surface search radar. Vympel-R2 reconnaissance radar. MR-212 Vaygach navigation radar. Nickel IFF . ARP-50R radio direction finder. Spektr-F laser detection warning system. MGK-335 Platina sonar. MG-339T Shelon sonar. MG-26 Khosta underwater communication system. KMG-12 Kassandra sonar. MGS-407K sonar. MI-110K and MI-110R anti-submarine search station PK-16 decoy RL (2 launchers KL-101) and PK-10 Smely (4 KT-216 launchers),,,,,,,,2023-09-28
,KIL-25,Crane Ship,58th Auxiliary Ship Group Feodosia,2260,3151.4,87.3,14.8,5.01,13.2,,20.0,2x885 hp electric motors. 2 fixed pitch propellers. 4x412 kW diesel generators. 2x408 kW diesel generators. 1x270 kW diesel generator. 1x67 kW diesel generator,,Don navigation radar,45.0,,,,,,,2023-10-03
,P-274,Anti-saboteur Boat,184th Novorossiysk Coastal Defense Brigade,,23.0,16.9,4.1,0.85,48.0,,1.0,2x1150 hp Caterpillar C18 diesels. 2 pump-jets,1x1 14.5 mm 2x1 7.62 mm 6P41 Pecheneg,Nautilus navigation radar,,,,,,,,2023-10-04
,Kommuna,Salvage Vessel,145th Resue Ship Squad,,3100.0,81,13.2,3.7,8.5,,35.0,2x600 hp 6DR30/50 diesels. 2 fixed pitch propellers,,,23.0,,,,,,,2023-10-06
,MUS-277,Oil Skimmer,205th Auxiliary Ship Squad,132,208.8,24.6,8.6,1.73,,,,2x100 kW diesel-generators,,,4.0,,,,,102,,2023-10-07
,BUK-532,Tugboat,13th Ship Repair Plant,35.5,42.7,14.07,3.82,1.58,9.5,,5.0,2x150 hp 3D6S diesels. 2 fixed pitch propellers in nozzles,,,4.0,,,,,,,2023-10-07
,BUK-49,Tugboat,205th Auxiliary Ship Squad,35.5,42.7,14.07,3.82,1.58,9.5,,5.0,2x150 hp 3D6S diesels. 2 fixed pitch propellers in nozzles,,,4.0,,,,,,,2023-10-12
570.0,Kolpino,Diesel Attack Submarine,4th Independent Submarine Brigade,,,73.8,9.9,,,,,1x5800 hp PG-141M electric motor. 1x150 hp PG-142 electric motor. 1 fixed pitch propeller. 2x1500 kW 4DL-42M diesel-generators,8x1 9K310 Igla-1 SAM system launchers (9M313 missiles) 6 533 mm bow torpedo tubes - 18 torpedoes 53-65K. 53-56B. 53-56BA. SET-53M. TEST-71M. USET-80. MG-74 Korund-2 torpedo decoy. Kalibr-PL missile complex (3M54K. 3M14K missiles) or 24 DM-1 mines,MRK-50 Kaskad radar complex. MRP-25 ESM radar system. Khrom-M IFF. MGK-400 Rubikon sonar complex. MG-519 Arfa mine detection sonar. MG-512 Vint self-cavitation measurement sonar. MG-53 noise detection sonar. MG-553 Shkert . MVU-110EM Uzel combat information control system. Andoga navigation complex,,,,45.0,,,,2023-10-17
,PKZ-205,Floating Barracks,Temryuk Auxiliary Ship Group,,,,,,,,,,,,,,,,,,,2023-10-27
,RB-225,Harbor Tug,91th Ship Repair Plant,168,192.0,24.4,7.22,2.1,9.0,,,2x300 hp diesels. 2 cycloidal propulsion units,,,4.0,,,,,,,2023-11-21
901.0,Zheleznyakov,Seagoing Minesweeper,184th Novorossiysk Coastal Defense Brigade,1070,1150.0,67.8,10.95,3.12,15.7,,15.0,2x2500 hp M-503B-37 diesels. 2 controllable pitch propellers. 1 bow thruster. 4x200 kW DGR-2A-200/1500 diesel generators,1x1 76 mm AK-176M – MR-123-01 Vympel-A fire control system1x6 30 mm AK-630M 2x4 SAM system 9K34 Strela-3 launchers (9M36 missiles) 16 mines 2x4 Gyurza anti-mine complex launchers Ketmen mine search-and-removal device. Paltus. KTK-1 contact sweep. TEM-3M magnetic sweep. AT-3 acoustic sweep. ShZ-3 detonating cord,2 MR-212/201 Vaygach-U navigation radars. MG-99 Kabarga-A3 mine-search sonar. MG-7 Braslet anti-saboteur sonar. MG-35 Shtil-2 underwater communication system. Buran-6 communication complex PK-16 decoy RL (2 KL-101 launchers),,,,,,,,2023-11-21
868.0,Pytlivy,Guided Missile Frigate,30th Surface Ship Division,2935,3305.0,123,14.2,4.5,32.0,,30.0,1x46000 hp M7K gas-turbine (2x6000 hp M62 gas-turbines. 2x17000 hp M8K forsage gas-turbines). 2 fixed pitch propellers. 5x500 kW DGAG-500/G-MSH diesel-generators (or DGAS-500/1MSH),1x4 KT-M-1135 URK-5 Rastrub-B launcher (4 85RU anti-submarine guided missiles) - SU-85KS-I Musson-U fire control system 2x1 100 mm AK-100 (1250 rounds) – MR-114 Lev-214 fire control system 2x2 ZIF-122 SAM Osa-MA (40 9M33M missiles) - 4R-33A fire control system 2x4 533 mm ChTA-53-1135 (4 SET-65 torpedoes. 4 53-65K torpedoes) – SU-504A Drakon-1135 fire control system 2x12 RBU-6000 Smerch-2 (96 RGB-60) 2x7 55 mm MRG-1 Ogonyok (420 RG-55. GRS-55 grenades) 18 IGDM-500 mines or 10 KSM mines or 14 KAM mines or 14 KB Krab mines or 10 Serpey mines or 4 PMR-1 mines or 7 PMR-2 mines or 7 MTPK-1 mines or 14 RM-1 mines or 12 UDM-2 mines,MR-310A Angara-A air/surface search radar. Volga navigation radar. Don navigation radar. MP-401S Start-S ESM radar system. Nickel-KM and Khrom-KM IFF (then Kremniy. from 1985 - Parol). ARP-50R radio direction finder. MG-332 Titan-2 sonar. MG-325 Vega sonar. MG-329 Bronza sonar. MG-26 Hosta underwater communication system. 2 MG-7 Braslet anti-saboteur sonars. MGS-400K sonar. KMG-12 Kassandra. MI-110R. MI-110K or MI-110KM. KPF-2-2. R-785 Tayfun communication complex PK-16 ship-borne decoy dispenser system (4 KL-101 launcher) – 128 AZ-TST-60. AZ-TSP-60UM (from 1991). AZ-TSTM-60U (from 1994) rounds,,,,,,,,2023-11-23
962.0,Shuya,Missile Corvette,41th Missile Boat Brigade,435,495.0,56.1,10.2,2.25,42.0,,10.0,2x17000 hp M-15 gas turbines (5000 hp M-75 gas turbine. 12000 hp M-70 gas turbine). 2 fixed pitch propellers,2x2 KT-138 launchers (4 P-15M Termit anti-ship missiles) 1 3M87 Kortik module (8x1 9M311 SAM missiles launchers. 2x6 30 mm) - removed in 20051 Pantsir-M module (8 launchers 57E6 missiles (32 missiles). 2x6 30 mm GSh-6-30K/AO-18KD guns) - from January 2021 1x1 76 mm AK-176M (314 rounds) - MR-123 Vympel-A fire control system,34K1 Monolit radar complex (Most. Mayak. Mech. Massiv. MR-144 radars). MR-352 Pozitiv air/surface search radar. Don navigation radar. Vympel-R2 ESW radar system PK-16 decoy RL (2 KL-101 launchers),,,,,,,,2023-12-19
,SFP-183,Physical Fields Control Vessel,205th Auxiliary Ship Squad,1350,1460.0,79.3,11.4,3.25,14.0,,15.0,2x1400 hp 3-2D42 diesels. 2 fixed pitch propellers. 1 bow thruster. 4x200 kW DG-200/P diesel-generators. 2x50 kW diesel-generators,,MR-212/201 Vaygach-U navigation radar. MG-29. MG-33. MG-26 Khosta underwater communication complex. MG-349 Ros-K sonar. GIA-301 Dnepr hydroacoustic measurement complex,92.0,,,,,,,2023-12-22
142.0,Novocherkassk,Large Landing Ship,197th Landing Ship Brigade,2768,4012.0,112.5,15.01,4.26,17.59,,30.0,2x9600 hp Zgoda-Sulzer 16ZVB40/48 diesels. 2 fixed pitch propellers. 2 stern retractable azimuth thrusters. 3x750 kW diesel generators,2x2 57 mm AK-725 (2200 rounds) – MR-103 Bars fire control system 2x40 122 mm MS-73 Grad-M launchers (320 rounds) – Groza-1171 fire control system2x4 MTU-4 (on some ships 4x4) Strela or 9M38 Igla SAM system (9M39) launchers,MR-302 Rubka air/surface search radar. Mius navigation radar,,10 main battle tanks and 340 troops or 12 BTR and 340 troops or 3 main battle tanks. 3 2S9 Nona-S. 5 MT-LB. 4 army trucks and 313 troops or 500 tons of cargo,,,,,,2023-12-26
152.0,Nikolay Filchenkov,Large Landing Ship,197th Landing Ship Brigade,3040,4650.0,113.1,15.6,4.5,16.5,,20.0,2x4500 hp 58A-4 diesels. 2 fixed pitch propellers. 3x300 kW DGR-300/500-1 diesel generators,1x2 57 mm ZIF-31B – 1200 rounds 2x2 25 mm 2M-3M 2x40 122 mm MS-73 Grad-M (160 rounds) – Groza-1171 fire control system 3x2 9K34 Strela-3 SAM system launchers – 24 9M36 missiles,Don navigation radars. Khrom-KM IFF,69.0,20main battle tanks and 440 troops or 47 BTR and 440 troops or 52 army trucks and 440 troops or 1000 tons of cargo,,,,,,2024-01-10
659.0,D-199,Landing Craft,184th Novorossiysk Coastal Defense Brigade,61,99.7,25.65,5.66,1.52,30.0,,1.0,2x2000 hp MTU16V2000M90 diesels. 2x16 kW DG-16/1500 diesel generators,,Pal-N-3 navigation radar. MR-231-2 navigation radar (D-1441),,1 main battle tank or 2 BTR or 92 troops or 50 tons of cargo,,,,,,2024-01-15
,P-276,Anti-saboteur Boat,184th Novorossiysk Coastal Defense Brigade,,23.0,16.9,4.1,0.85,48.0,,1.0,2x1150 hp Caterpillar C18 diesels. 2 pump-jets,1x1 14.5 mm 2x1 7.62 mm 6P41 Pecheneg,Nautilus navigation radar,,,,,,,,2024-01-17
,VM-125,Diving Tender,145th Resue Ship Squad,92,119.0,28.58,5.5,1.73,12.2,,10.0,1x450 hp 6ChSP23/30 diesel. 1 fixed pitch propeller. 1x12.5 kW DG-13 diesel generator. 1x6.5 kW DG-10 diesel generator,,,,,,,1 diving complex (1 pressure chamber)  60 m,,,2024-01-22
,VTR-94,Seagoing Armament Transport,205th Auxiliary Ship Squad,441,686.0,51.45,8.42,3.22,11.5,,15.0,1x600 hp 6LH-30.50-3 diesel. 1 fixed pitch propeller in rotating nozzle. 2x50 kW diesel-generators,,Don navigation radar,22.0,,,,,180,,2024-01-24
,D-309,High-Speed Landing Craft,388th Marine Reconnaissance point of the 1229th Naval Intelligence Center,,19.5,16.45,4.0,0.87,42.0,,1.0,2x780 hp diesels. 2 pump-jejt,1x1 12.7 mm or 1x1 40 mm grenade launcher4x1 7.62 mm 6P41 Pecheneg,,,,,,,,,2024-01-27
,MB-31,Seagoing Tug,58th Auxiliary Ship Group Feodosia,1092,1452.0,56.5,12.64,4.47,13.2,,40.0,2x1500 hp PG-950/170M electric motors. 2x1000 kW DGR-1000/750 diesel-generators. 2x100 kW diesel-generators. 1 fixed pitch propeller in rotating nozzle,,2 Don navigation radars,35.0,,,,2 fire monitors. 1500 m3/h water pumps,,,2024-01-28
,PD-80,Floating Dock,13th Ship Repair Plant,2034,,78.85,26.92,2,,,,,,,,,,,,1500,,2024-01-30
954.0,Ivanovets,Missile Corvette,41th Missile Boat Brigade,436,493.0,56.1,10.2,2.5,41.0,,10.0,2x16000 hp DGTA M-15A (4000 hp M-510 diesel. 12000 hp M-70 gas turbine). 2 fixed pitch propellers. 2x200 kW diesel generators. 1x100 kW diesel generator,2x2 KT-152 launchers (4 P-100 Moskit anti-ship missiles (3M80)) 1x4 MTU-4US Strela-3M or 9K310 Igla-1 SAM system launcher (9M313 missiles) - 16 missiles 1x1 76 mm AK-176M (314 rounds) - MR-123-1 Vympel-A fire control system 2x6 30 mm AK-630M CIWS,34K1 Monolit radar complex (Most. Mayak. Mech. Massiv. MR-144 radars). Don navigation radar. Vympel-R2 ESW radar system PK-16 decoy RL (2 KL-101 launchers),,,,,,,,2024-01-31
,BKSch-31,Target Barge,280th Target Ship Station,,142.0,68,8.0,1.3,,,,Non self-propelled,,,,,,,,,,2024-02-01
71.0,Suzdalets,ASW Corvette,68th Coastal Defense Ship Brigade ,910,1055.0,71.07,10.15,3.71,31.67,,10.0,1x18000 hp M-8 gas turbine. 2x10000 hp M-507A-1P diesels or 2x10000 hp M-507A-2 diesels. 3 fixed pitch propellers. 1x500 kW ASDG-500 diesel generator. 1x300 kW diesel generator. 1x200 kW diesel generator,1x2 ZIF-122 4K33 Osa-MA SAM system launcher (20 9M33M missiles) - 4R-33A 1x2 or 1x4 9K34 Strela-3 SAM system launcher (8 9M36 missiles) or 9K38 Igla SAM system (8 9M39 missiles)1x1 76 mm AK-176 (304 rounds). 1x6 30 mm AK-630M (3000 rounds) - MR-123 Vympel-A fire control system2x2 533 mm DTA-53-1124 torpedo tubes (4 torpedoes TEST-71. TEST-71M. SET-65. SET-53. SET-53M. 53-65K) - Drakon fire control system1x12 RBU-6000 Smerch-2 (48 RGB-60) 12 BB-1 or BPS depth charges 18 mines,MR-320 Topaz-2V air/surface search radar. Vympel-R2 reconnaissance radar. MR-212 Vaygach navigation radar. Nickel IFF . ARP-50R radio direction finder. Spektr-F laser detection warning system. MGK-335 Platina sonar. MG-339T Shelon sonar. MG-26 Khosta underwater communication system. KMG-12 Kassandra sonar. MGS-407K sonar. MI-110K and MI-110R anti-submarine search station PK-16 decoy RL (2 launchers KL-101) and PK-10 Smely (4 KT-216 launchers),,,,,,,,2024-02-16
